AC_TYPE,AC_DISPATCHED,AC_EFFECTIVE,ROCKETS,BULLETS,UNIT,DATE,TOTAL_MUNITIONS_LBS,AC_LOST,CASUALTIES,AC_DESTROYED,AC_DAMAGED
B25,13,13,10,74,3rd Bombardment Group,2/1/1951,50000,0,0,0,
B26,21,21,,132,3rd Bombardment Group,6/28/1950,56000,0,4,0,
B26,21,21,,132,3rd Bombardment Group,6/28/1950,56000,0,4,0,
B26,18,18,,113,3rd Bombardment Group,6/29/1950,48000,4,20,0,
B26,18,18,,113,3rd Bombardment Group,6/29/1950,48000,4,20,0,
B26,21,21,,132,3rd Bombardment Group,6/30/1950,56000,0,0,0,
B26,21,21,,132,3rd Bombardment Group,6/30/1950,56000,0,0,0,
B26,20,20,,126,3rd Bombardment Group,7/2/1950,56000,2,0,0,
B26,14,14,,88,3rd Bombardment Group,7/3/1950,36000,1,0,0,
B26,16,16,,101,3rd Bombardment Group,7/4/1950,42000,0,0,0,
B26,30,30,,189,3rd Bombardment Group,7/6/1950,78000,2,3,0,
B26,17,17,,107,3rd Bombardment Group,7/7/1950,44000,0,0,0,
B26,25,17,,5,3rd Bombardment Group,7/8/1950,90000,0,0,0,
B26,10,10,,4,3rd Bombardment Group,7/9/1950,22000,0,0,0,
B26,4,4,,,3rd Bombardment Group,7/9/1950,12000,0,0,0,
B26,26,25,,6,3rd Bombardment Group,7/10/1950,70000,0,1,0,
B26,22,22,,,3rd Bombardment Group,7/10/1950,88000,0,0,0,
B26,20,20,,,3rd Bombardment Group,7/11/1950,48000,0,0,0,
B26,18,16,,,3rd Bombardment Group,7/11/1950,20000,0,0,0,
B26,13,13,,,3rd Bombardment Group,7/12/1950,44000,0,0,0,
B26,16,16,,,3rd Bombardment Group,7/12/1950,52000,0,0,0,
B26,8,6,,,3rd Bombardment Group,7/13/1950,28000,0,0,0,
B26,8,8,,,3rd Bombardment Group,7/13/1950,16000,0,0,0,
B26,9,5,,,3rd Bombardment Group,7/14/1950,16000,0,0,0,
B26,12,11,,,3rd Bombardment Group,7/14/1950,22000,0,0,0,
B26,6,6,,,3rd Bombardment Group,7/15/1950,,0,0,0,
B26,12,12,,75,3rd Bombardment Group,7/15/1950,40000,0,0,0,1
B26,16,16,,,3rd Bombardment Group,7/16/1950,62000,0,0,0,
B26,15,14,,,3rd Bombardment Group,7/16/1950,56000,0,0,0,
B26,9,9,,,3rd Bombardment Group,7/17/1950,24000,0,0,0,
B26,15,14,,,3rd Bombardment Group,7/17/1950,48000,0,0,0,
B26,11,11,,,3rd Bombardment Group,7/18/1950,20000,0,0,0,
B26,13,13,,,3rd Bombardment Group,7/18/1950,38000,0,0,0,
B26,8,8,,,3rd Bombardment Group,7/19/1950,32000,0,0,0,
B26,5,5,,,3rd Bombardment Group,7/19/1950,,0,0,0,
B26,17,10,,1,3rd Bombardment Group,7/21/1950,42000,0,0,0,
B26,19,18,,,3rd Bombardment Group,7/21/1950,52000,0,0,0,
B26,14,14,,12,3rd Bombardment Group,7/23/1950,50000,0,0,0,
B26,13,13,,60,3rd Bombardment Group,7/23/1950,46000,0,0,0,
B26,14,14,12,34,3rd Bombardment Group,7/24/1950,52000,0,0,0,
B26,17,17,18,72,3rd Bombardment Group,7/24/1950,52000,0,0,0,
B26,12,11,8,85,3rd Bombardment Group,7/25/1950,34000,0,0,0,
B26,13,13,8,72,3rd Bombardment Group,7/25/1950,40000,0,0,0,
B26,13,12,7,20,3rd Bombardment Group,7/26/1950,18000,0,0,0,
B26,14,13,30,33,3rd Bombardment Group,7/26/1950,40000,0,0,0,
B26,14,14,29,114,3rd Bombardment Group,7/27/1950,28000,0,1,0,1
B26,12,12,41,180,3rd Bombardment Group,7/27/1950,38000,0,0,0,
B26,8,3,12,49,3rd Bombardment Group,7/28/1950,8000,0,0,0,
